Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
60+,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,Rock,Morning,"Sadness or melancholy, Social gatherings or parties",Study Hours,recommendations,5,Once a week,Informative stuff,Interview,None,Longer,Very Dissatisfied
35-60,Female,6 months to 1 year,Smartphone,Premium (paid subscription),No,None,Podcast,trending songs random,Morning,"Uplifting and motivational, Social gatherings or parties","Study Hours, Workout session","recommendations, Others",2,Once a week,Informative stuff,Story telling,Well known individuals,Both,Satisfied
35-60,Female,1 year to 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),No,Student Plan-Rs 59/month,Music,trending songs random,Afternoon,"Relaxation and stress relief, Uplifting and motivational","Study Hours, Workout session","Playlists, Radio",2,Daily,Comedy,Story telling,Both,Both,Satisfied
35-60,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Family Plan-Rs 179/month,Music,Electronic/Dance,Morning,"Relaxation and stress relief, Uplifting and motivational","Office hours, Study Hours, While Traveling, Workout session","recommendations, Playlists",2,Daily,Novels,Educational,Both,Longer,Satisfied
13-20,Female,6 months to 1 year,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Old songs,Afternoon,Sadness or melancholy,"Office hours, Study Hours, While Traveling, leisure time","recommendations,Others, Social media",1,Several times a week,Stories ,Story telling,Well known individuals,Longer,Very Satisfied
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,None,Music,"Classical & melody, dance",Morning,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Before bed ","Others, Search",3,Several times a week,Novels,Conversational,Both,Longer,Very Dissatisfied
20-35,Others,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Pop,Afternoon,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, Workout session","recommendations, Radio, Others",1,Daily,Technology,Educational,unknown Podcasters,None,Ok
20-35,Female,6 months to 1 year,"Smartphone, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),No,None,Music,Kpop,Night,"Sadness or melancholy, Social gatherings or parties","Study Hours, leisure time","Others, Friends",4,Several times a week,Stories ,Interview,unknown Podcasters,Longer,Dissatisfied
35-60,Others,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,Pop,Night,Sadness or melancholy,Study Hours,Radio,1,Several times a week,Stories ,Interview,None,Shorter,Ok
20-35,Male,1 year to 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,Individual Plan- Rs 119/ month,Podcast,Electronic/Dance,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session",Others,2,Once a week,Novels,Educational,Both,Shorter,Very Satisfied
35-60,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Electronic/Dance,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, Workout session","Playlists, Radio, Others",5,Rarely,Murder Mystery ,Interview,Both,Both,Dissatisfied
20-35,Others,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,None,Podcast,Old songs,Afternoon,Sadness or melancholy,"Office hours,Study Hours, While Traveling, leisure time",recommendations,5,Several times a week,Technology,Conversational,unknown Podcasters,Longer,Very Satisfied
20-35,Others,6 months to 1 year,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),No,Family Plan-Rs 179/month,Music,trending songs random,Night,Social gatherings or parties,"Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Rarely,Dance and Relevant cases ,Conversational,unknown Podcasters,Both,Ok
60+,Others,1 year to 2 years,Wearable devices,Free (ad-supported),No,Student Plan-Rs 59/month,Music,All,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session","recommendations, Playlists, Others",4,Several times a week,Sports,None,unknown Podcasters,Longer,Dissatisfied
60+,Female,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),No,Duo plan- Rs 149/month,Podcast,Melody,Night,"Sadness or melancholy, Social gatherings or parties",While Traveling,"recommendations, Others",2,Never,General knowledge ,Interview,unknown Podcasters,Shorter,Dissatisfied
13-20,Female,Less than 6 months,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Individual Plan- Rs 119/ month,Podcast,"Classical & melody, dance",Morning,"Relaxation and stress relief, Sadness or melancholy","Office hours, Study Hours, While Traveling","recommendations, Others, Social media",2,Rarely,"Political, informative, topics that interests me",Interview,unknown Podcasters,None,Ok
35-60,Others,Less than 6 months,"Smartphone, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),No,Individual Plan- Rs 119/ month,Music,"Classical & melody, dance",Afternoon,"Relaxation and stress relief, Uplifting and motivational",Workout session,"recommendations, Playlists, Radio, Others",3,Once a week,Sports,Conversational,unknown Podcasters,None,Very Satisfied
60+,Male,Less than 6 months,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,None,Music,trending songs random,Night,Social gatherings or parties,"Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",4,Never,General knowledge ,Interview,None,Longer,Satisfied
13-20,Others,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),No,Duo plan- Rs 149/month,Music,Rap,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Before bed ","Radio, Others",2,Several times a week,Food and cooking,Interview,None,Shorter,Satisfied
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,None,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Workout session, leisure time",Playlists,3,Several times a week,Finance related and current affairs,Story telling,Well known individuals,None,Dissatisfied
60+,Others,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),No,Family Plan-Rs 179/month,Music,Electronic/Dance,Night,Relaxation and stress relief,"Office hours,Study Hours, While Traveling, leisure time","Playlists, Radio",2,Never,Business,Educational,Well known individuals,None,Very Dissatisfied
60+,Female,6 months to 1 year,"Smartphone, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Kpop,Night,Sadness or melancholy,"Study Hours, While Traveling",Playlists,2,Once a week,General knowledge ,Story telling,None,Longer,Dissatisfied
60+,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Rap,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session","Playlists, Radio, Others",2,Daily,Sports,Conversational,unknown Podcasters,None,Dissatisfied
35-60,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Morning,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",Office hours,"Playlists, Others",1,Never,Dance and Relevant cases ,Educational,unknown Podcasters,None,Very Dissatisfied
13-20,Others,Less than 6 months,Wearable devices,Free (ad-supported),No,None,Music,"Classical & melody, dance",Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, Workout session","Others, Friends",1,Several times a week,Sports,Story telling,Well known individuals,Longer,Ok
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Family Plan-Rs 179/month,Music,"Classical & melody, dance",Morning,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Office hours, Workout session",recommendations,1,Never,Educational ,Educational,unknown Podcasters,Both,Dissatisfied
13-20,Male,6 months to 1 year,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rock,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Office hours, Study Hours, While Traveling, Workout session","Radio, Others",5,Rarely,Educational ,Interview,None,Longer,Satisfied
35-60,Others,6 months to 1 year,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","Playlists, Radio",4,Rarely,Business,Interview,Both,Both,Very Satisfied
60+,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,None,Music,Old songs,Morning,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, leisure time",Radio,3,Never,Novels,Interview,None,Shorter,Very Dissatisfied
60+,Others,1 year to 2 years,"Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),No,Individual Plan- Rs 119/ month,Podcast,All,Afternoon,Uplifting and motivational,"Study Hours, While Traveling, Workout session, leisure time","Playlists, Others",3,Rarely,Informative stuff,Interview,Both,Longer,Ok
60+,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Kpop,Afternoon,"Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time",Radio,5,Daily,Lifestyle and Health,Educational,unknown Podcasters,Both,Satisfied
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Premium (paid subscription),No,Individual Plan- Rs 119/ month,Podcast,Rap,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Office hours,"recommendations, Others",2,Never,Dance and Relevant cases ,Conversational,unknown Podcasters,Both,Dissatisfied
20-35,Male,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,None,Podcast,All,Morning,Uplifting and motivational,leisure time,"recommendations, Others, Social media",2,Once a week,Lifestyle and Health,None,Both,None,Satisfied
60+,Others,1 year to 2 years,Wearable devices,Premium (paid subscription),No,Student Plan-Rs 59/month,Podcast,Electronic/Dance,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, Workout session",Playlists,2,Daily,Novels,Educational,None,Both,Very Satisfied
20-35,Female,More than 2 years,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,Music,classical,Night,"Relaxation and stress relief, Sadness or melancholy",Random ,"Others, Friends",3,Several times a week,Business,Interview,Well known individuals,Shorter,Very Dissatisfied
60+,Male,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,Pop,Morning,Sadness or melancholy,"Office hours, Workout session",Playlists,2,Several times a week,Business,Educational,None,Shorter,Very Dissatisfied
60+,Others,1 year to 2 years,Smartphone,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio, Others",2,Rarely,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
20-35,Male,1 year to 2 years,Computer or laptop,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Pop,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time, Night time, when cooking","recommendations, Playlists",2,Once a week,Food and cooking,None,unknown Podcasters,Longer,Dissatisfied
35-60,Female,1 year to 2 years,Wearable devices,Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,Pop,Afternoon,"Uplifting and motivational, Sadness or melancholy","Workout session, leisure time",Playlists,4,Rarely,Everything,Story telling,None,None,Dissatisfied
13-20,Others,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,Old songs,Morning,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties",Office hours,"Playlists, Radio",5,Once a week,Food and cooking,Conversational,unknown Podcasters,Shorter,Ok
20-35,Female,More than 2 years,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Morning,"Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, leisure time","Others, Social media",1,Several times a week,Comedy,Story telling,Well known individuals,Shorter,Dissatisfied
60+,Female,1 year to 2 years,"Smartphone, Wearable devices",Free (ad-supported),Yes,None,Music,classical,Morning,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Before bed ","recommendations, Radio, Others",3,Daily,Spiritual and devotional,Interview,unknown Podcasters,None,Ok
60+,Female,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Premium (paid subscription),No,Family Plan-Rs 179/month,Music,classical,Morning,"Relaxation and stress relief, Sadness or melancholy","Study Hours, leisure time","Radio, Others",5,Rarely,Dance and Relevant cases ,Educational,Both,Longer,Satisfied
60+,Others,Less than 6 months,"Computer or laptop, Wearable devices",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Kpop,Morning,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session","Others, Friends",4,Rarely,Novels,Educational,unknown Podcasters,None,Ok
20-35,Others,Less than 6 months,Smart speakers or voice assistants,Premium (paid subscription),No,Duo plan- Rs 149/month,Music,All,Morning,Relaxation and stress relief,"Study Hours, leisure time","recommendations,Others, Social media",1,Once a week,Dance and Relevant cases ,None,None,Shorter,Very Dissatisfied
20-35,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,Music,Pop,Afternoon,Uplifting and motivational,Office hours,Radio,1,Once a week,Dance and Relevant cases ,Conversational,None,Longer,Very Dissatisfied
20-35,Female,More than 2 years,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Kpop,Night,"Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, While Traveling","Playlists, Others",5,Never,Sports,Interview,Both,Both,Ok
13-20,Male,Less than 6 months,"Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,trending songs random,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, Workout session",recommendations,1,Daily,Comedy,Educational,Well known individuals,Longer,Dissatisfied
35-60,Female,Less than 6 months,Smart speakers or voice assistants,Premium (paid subscription),No,None,Music,Old songs,Afternoon,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Others, Social media",5,Several times a week,General knowledge ,Conversational,Both,Shorter,Ok
20-35,Male,More than 2 years,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,Music,All,Morning,Sadness or melancholy,"Study Hours, While Traveling, Workout session, leisure time",Radio,1,Never,Informative stuff,None,unknown Podcasters,Longer,Very Dissatisfied
20-35,Others,Less than 6 months,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Family Plan-Rs 179/month,Music,Electronic/Dance,Morning,Social gatherings or parties,Social gatherings ,recommendations,1,Several times a week,Finance related and current affairs,Interview,Well known individuals,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,"Classical & melody, dance",Afternoon,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Others, Social media",3,Once a week,Self help,Conversational,Both,Both,Satisfied
60+,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Kpop,Morning,Relaxation and stress relief,"While Traveling, Before bed ","recommendations, Playlists, Radio",1,Never,Stories ,Interview,None,None,Very Dissatisfied
13-20,Others,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",Random ,"Playlists, Others",3,Never,Sports,Conversational,None,None,Very Satisfied
35-60,Male,6 months to 1 year,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,"Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling, Workout session, leisure time, ","Others, Friends",3,Rarely,Finance related and current affairs,Interview,unknown Podcasters,Longer,Very Dissatisfied
13-20,Others,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Electronic/Dance,Afternoon,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, Workout session","Others, Social media",5,Several times a week,Novels,Story telling,None,Both,Very Satisfied
35-60,Female,6 months to 1 year,"Computer or laptop, Wearable devices",Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Kpop,Morning,"Uplifting and motivational, Social gatherings or parties","Office hours, Workout session","recommendations, Others",5,Once a week,Educational ,Educational,Both,Longer,Satisfied
60+,Female,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Study Hours, Workout session, leisure time","Others, Friends",4,Rarely,Dance and Relevant cases ,Conversational,None,Both,Very Satisfied
13-20,Male,Less than 6 months,Computer or laptop,Premium (paid subscription),No,None,Music,Kpop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy",While Traveling,Radio,5,Never,Business,Educational,None,None,Dissatisfied
60+,Female,6 months to 1 year,"Computer or laptop, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Music,classical,Morning,Relaxation and stress relief,"Workout session, leisure time",Radio,2,Daily,Informative stuff,Educational,unknown Podcasters,Shorter,Ok
60+,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,None,Music,"Classical & melody, dance",Morning,"Uplifting and motivational, Social gatherings or parties","Office hours, Workout session, leisure time","recommendations, Others",3,Daily,General knowledge ,Interview,Both,Both,Very Satisfied
20-35,Male,Less than 6 months,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Music,All,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, Workout session","recommendations, Playlists, Radio, Others",5,Never,Spiritual and devotional,Educational,Well known individuals,Longer,Very Dissatisfied
35-60,Female,1 year to 2 years,"Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Melody,Afternoon,Sadness or melancholy,"Workout session, leisure time","recommendations, Playlists",2,Once a week,Educational ,None,Well known individuals,Shorter,Satisfied
20-35,Others,1 year to 2 years,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Melody,Night,"Uplifting and motivational, Social gatherings or parties","Office hours, While Traveling, ","Others, Search",5,Once a week,Business,None,None,Shorter,Satisfied
60+,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Family Plan-Rs 179/month,Podcast,Rap,Afternoon,Relaxation and stress relief,While Traveling,"recommendations,Others, Social media",5,Once a week,Food and cooking,Story telling,unknown Podcasters,Both,Very Satisfied
60+,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Podcast,Electronic/Dance,Afternoon,Uplifting and motivational,"Office hours, While Traveling, Workout session","Others, Search",2,Once a week,Food and cooking,Story telling,Well known individuals,None,Very Dissatisfied
35-60,Male,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,"Classical & melody, dance",Morning,Relaxation and stress relief,"Office hours, Study Hours, While Traveling, leisure time","recommendations, Radio",2,Several times a week,Comedy,None,Both,Shorter,Ok
20-35,Male,6 months to 1 year,"Computer or laptop, Wearable devices",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,"Classical & melody, dance",Morning,"Uplifting and motivational, Sadness or melancholy",Workout session,Radio,2,Never,General knowledge ,Story telling,unknown Podcasters,Shorter,Very Satisfied
60+,Others,Less than 6 months,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Electronic/Dance,Night,"Uplifting and motivational, Sadness or melancholy",Social gatherings ,"Radio, Others",1,Once a week,Health and Fitness,None,None,Both,Very Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),No,Student Plan-Rs 59/month,Podcast,trending songs random,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling","recommendations, Radio",1,Once a week,Self help,None,Both,Longer,Very Satisfied
13-20,Others,6 months to 1 year,Wearable devices,Free (ad-supported),No,None,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling, leisure time","recommendations, Playlists, Radio",5,Never,Comedy,Story telling,unknown Podcasters,None,Satisfied
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,Kpop,Night,"Relaxation and stress relief, Social gatherings or parties",Study Hours,"recommendations, Playlists",1,Never,Self help,Educational,Both,Shorter,Very Satisfied
60+,Male,6 months to 1 year,"Smartphone, Wearable devices",Premium (paid subscription),No,Individual Plan- Rs 119/ month,Podcast,Old songs,Night,"Sadness or melancholy, Social gatherings or parties","Office hours,Study Hours, While Traveling, leisure time","Others, Friends",3,Several times a week,Comedy,Interview,Well known individuals,None,Very Dissatisfied
60+,Male,Less than 6 months,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,None,Podcast,trending songs random,Morning,"Relaxation and stress relief, Uplifting and motivational",Social gatherings ,Radio,4,Several times a week,Comedy,Interview,None,None,Ok
35-60,Male,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,"Classical & melody, dance",Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations,Others, Social media",1,Daily,Dance and Relevant cases ,Story telling,unknown Podcasters,None,Satisfied
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Old songs,Afternoon,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time, Night time, when cooking",Radio,3,Once a week,Finance related and current affairs,Story telling,None,Longer,Very Dissatisfied
60+,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Rock,Afternoon,"Sadness or melancholy, Social gatherings or parties","Office hours,Study Hours, While Traveling, leisure time","recommendations, Others",1,Never,Finance related and current affairs,Educational,unknown Podcasters,Both,Very Dissatisfied
35-60,Others,Less than 6 months,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Rock,Night,"Uplifting and motivational, Sadness or melancholy","While Traveling, Before bed ","Radio, Others",1,Rarely,Technology,None,unknown Podcasters,Both,Very Satisfied
20-35,Others,1 year to 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,trending songs random,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Workout session",Radio,3,Rarely,Stories ,None,Well known individuals,Longer,Ok
60+,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,"Classical & melody, dance",Morning,"Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time, ","Radio, Others",5,Rarely,General knowledge ,Conversational,Well known individuals,Both,Satisfied
13-20,Others,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,All,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time, Night time, when cooking",recommendations,3,Daily,Sports,Story telling,None,None,Very Dissatisfied
20-35,Others,Less than 6 months,Wearable devices,Free (ad-supported),No,None,Music,Electronic/Dance,Afternoon,"Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling","Others, Social media",2,Several times a week,Dance and Relevant cases ,Educational,Well known individuals,None,Ok
60+,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Pop,Afternoon,Relaxation and stress relief,"Study Hours, While Traveling, Workout session, leisure time","Others, Search",3,Once a week,None,Conversational,Both,None,Very Dissatisfied
60+,Others,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Kpop,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling","Others, Search",2,Rarely,Technology,None,Well known individuals,Longer,Very Dissatisfied
35-60,Male,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Individual Plan- Rs 119/ month,Podcast,All,Morning,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling, leisure time","Radio, Others",4,Once a week,"Political, informative, topics that interests me",None,Both,Longer,Satisfied
35-60,Others,More than 2 years,Smartphone,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Melody,Morning,Sadness or melancholy,Office hours,"recommendations, Playlists, Radio, Others",1,Rarely,Health and Fitness,Story telling,Well known individuals,Shorter,Ok
60+,Male,Less than 6 months,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Old songs,Afternoon,Sadness or melancholy,"Office hours, While Traveling, ",Others,2,Daily,General knowledge ,Conversational,unknown Podcasters,Shorter,Very Dissatisfied
20-35,Female,Less than 6 months,"Computer or laptop, Wearable devices",Premium (paid subscription),No,None,Podcast,Electronic/Dance,Night,Social gatherings or parties,Study Hours,Radio,5,Once a week,Business,Interview,Well known individuals,Longer,Very Dissatisfied
20-35,Female,More than 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Podcast,"Classical & melody, dance",Morning,Sadness or melancholy,"Study Hours, Workout session","recommendations, Others, Social media",2,Rarely,General knowledge ,Story telling,Well known individuals,Shorter,Dissatisfied
13-20,Others,6 months to 1 year,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,classical,Morning,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling",recommendations,3,Once a week,Murder Mystery ,Interview,Both,Longer,Very Satisfied
60+,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Student Plan-Rs 59/month,Podcast,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations,Others, Social media",1,Several times a week,Food and cooking,Story telling,unknown Podcasters,Longer,Dissatisfied
20-35,Female,Less than 6 months,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,classical,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, leisure time","recommendations, Radio, Others",3,Several times a week,Dance and Relevant cases ,Interview,None,Both,Satisfied
